Found:4300
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 188 | syncNotificationsState(listData, newCount);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 191 | syncNotificationsState(listData, newCount);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 208 | syncNotificationsState(data, null);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 216 | } catch(e) { console.error('Notifications init error (dashboard):', e); }
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 383 | <!-- Notifications Bell -->
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\dashboard.blade.php | 397 | <!-- Notifications Dropdown -->
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 34 | console.debug('[Notifications] updateUnread called (nav)');
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 36 | console.debug('[Notifications] requesting unread:', window.NOTIFICATION_ENDPOINTS.unread);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 38 | console.debug('[Notifications] unread response (nav):', res);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 40 | console.debug('[Notifications] unread data (nav):', data);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 53 | console.log('Notifications fetched (nav on delta):', listData);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 85 | console.error('Notifications fetch error (nav on delta):', err);
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 104 | fetch(window.NOTIFICATION_ENDPOINTS.list, {credentials: 'same-origin'}).then(r => r.json()).then(data => { console.log('Notifications fetched (nav):', data); notifications = data; try { notificationCount = notifications.filter(n => !n.read).length; } catch(e){} }).catch(err=>{ console.error('Notifications fetch error (nav):', err); });
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 111 | } catch(e) { console.error('Notifications init error (nav):', e); }
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 157 | <!-- Notifications Bell -->
Notifications | Notifications | E:\smart-cryptopay\resources\views\layouts\navigation.blade.php | 175 | console.log('Notifications fetched (nav):', data);
